Domain,Phylum,Genome Count,Soi mic 454 2065487018 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725001 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725002 (MER-FS) (assembled)   &#37; ,Soi mic Con 2067725004 (MER-FS) (assembled)   &#37; ,Soi mic Pre 2070309009 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090014 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090015 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664021 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664022 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000033 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000363 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000364 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000787 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000789 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000858 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000890 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000891 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000953 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000955 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000956 (MER-FS) (assembled)   &#37; 
Eukaryota,Streptophyta,34,0.05,0.06,0.03,0.06,0.05,0.02,0.02,0.02,0.05,0.36,0.12,0.15,0.13,0.1,0.15,0.13,0.14,0.13,0.18,0.11
Eukaryota,Zoopagomycota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Eukaryota,unclassified,23,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.07,0.05,0.05,0.15,0.09,0.17,0.15,0.16,0.12,0.17,0.12
GFragment:Bacteria,Actinobacteria,249,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Cyanobacteria,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Proteobacteria,43,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,unclassified,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Eukaryota,Ascomycota,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Archaea,Crenarchaeota,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Archaea,Euryarchaeota,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Actinobacteria,84,0,0,0,0,0,0,0,0,0,0.02,0.04,0.01,0.03,0.01,0.02,0.02,0.01,0,0.01,0.01
Plasmid:Bacteria,Bacteroidetes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Chlorobi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Cyanobacteria,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Firmicutes,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Fusobacteria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmid:Bacteria,Nitrospirae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
