Domain,Phylum,Genome Count,Soi mic 454 2065487018 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2065487018 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725001 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725001 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725002 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725002 (MER-FS) (assembled)   &#37; ,Soi mic Con 2067725004 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Con 2067725004 (MER-FS) (assembled)   &#37; ,Soi mic Pre 2070309009 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Pre 2070309009 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090014 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090014 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090015 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090015 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664021 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664021 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664022 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664022 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000033 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000033 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000363 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000363 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000364 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000364 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000787 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000787 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000789 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000789 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000858 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000858 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000890 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000890 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000891 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000891 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000953 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000953 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000955 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000955 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000956 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000956 (MER-FS) (assembled)   &#37; 
Eukaryota,Bacillariophyta,2,3,0,9,0,11,0,47,0.01,14,0,3,0,4,0,22,0,29,0,866,0.03,4209,0.01,8987,0.01,2444,0.01,291,0.01,4799,0.01,6827,0.01,5347,0.01,479,0.01,19344,0.01,2460,0.01
Eukaryota,Basidiomycota,21,200,0.05,505,0.11,55,0.01,167,0.02,137,0.01,31,0.01,15,0,99,0.01,463,0.03,1272,0.04,7400,0.02,58749,0.09,10757,0.05,7514,0.18,512734,0.76,38203,0.04,26623,0.05,2227,0.04,193151,0.1,13167,0.04
Eukaryota,Blastocladiomycota,1,13,0,3,0,12,0,17,0,28,0,8,0,3,0,11,0,9,0,0,0,0,0,0,0,1990,0.01,192,0,9211,0.01,10406,0.01,7383,0.01,444,0.01,23780,0.01,3051,0.01
Eukaryota,Chlorophyta,13,93,0.02,120,0.03,95,0.02,255,0.03,267,0.03,45,0.01,45,0.01,175,0.01,187,0.01,1763,0.06,10376,0.03,19725,0.03,13411,0.06,1331,0.03,64119,0.09,67412,0.08,49636,0.09,3109,0.06,138037,0.07,21696,0.07
Eukaryota,Chordata,9,84,0.02,82,0.02,82,0.02,241,0.03,169,0.02,32,0.01,42,0.01,209,0.01,153,0.01,2048,0.07,15330,0.04,31277,0.05,21383,0.1,1956,0.05,69300,0.1,73813,0.08,41922,0.07,3327,0.06,174972,0.09,18708,0.06
Eukaryota,Chytridiomycota,3,26,0.01,17,0,11,0,55,0.01,47,0,5,0,12,0,44,0,56,0,0,0,0,0,0,0,2706,0.01,463,0.01,8946,0.01,9596,0.01,7668,0.01,552,0.01,29694,0.02,2885,0.01
Eukaryota,Cnidaria,2,16,0,16,0,20,0,46,0,36,0,12,0,66,0.02,185,0.01,40,0,0,0,0,0,0,0,13712,0.06,523,0.01,9132,0.01,32707,0.04,7694,0.01,725,0.01,35792,0.02,3455,0.01
Eukaryota,Microsporidia,6,2,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,27,0,560,0,854,0,438,0,25,0,599,0,1211,0,288,0,35,0,2639,0,174,0
Eukaryota,Mollusca,1,10,0,4,0,10,0,15,0,13,0,3,0,1,0,23,0,24,0,0,0,0,0,0,0,2936,0.01,197,0,5656,0.01,8612,0.01,4316,0.01,377,0.01,20045,0.01,1775,0.01
Eukaryota,Nematoda,1,10,0,4,0,2,0,25,0,18,0,2,0,6,0,10,0,17,0,829,0.03,1656,0,4062,0.01,673,0,150,0,3829,0.01,5801,0.01,3568,0.01,227,0,13156,0.01,1407,0
Eukaryota,Phaeophyceae,1,11,0,14,0,8,0,34,0,34,0,5,0,6,0,22,0,25,0,0,0,0,0,0,0,2755,0.01,286,0.01,14281,0.02,12713,0.01,9210,0.02,685,0.01,24738,0.01,4422,0.01
Eukaryota,Placozoa,1,1,0,3,0,9,0,15,0,8,0,3,0,1,0,9,0,11,0,0,0,0,0,0,0,1390,0.01,129,0,2687,0,2232,0,2425,0,205,0,9112,0,991,0
Eukaryota,Porifera,1,19,0,20,0,26,0.01,54,0.01,51,0,10,0,12,0,143,0.01,69,0,0,0,0,0,0,0,7151,0.03,663,0.02,18339,0.03,41160,0.05,18262,0.03,1095,0.02,51081,0.03,6139,0.02
Eukaryota,Streptophyta,34,232,0.05,245,0.06,133,0.03,532,0.06,563,0.05,90,0.02,63,0.02,343,0.02,781,0.05,11025,0.36,44592,0.12,98668,0.15,29127,0.13,4286,0.1,98796,0.15,118041,0.13,80085,0.14,6793,0.13,355350,0.18,33611,0.11
Eukaryota,Zoopagomycota,1,5,0,6,0,7,0,13,0,8,0,15,0,1,0,11,0,11,0,0,0,0,0,0,0,720,0,82,0,2204,0,4271,0,2821,0,173,0,17892,0.01,1003,0
Eukaryota,unclassified,23,145,0.03,148,0.03,155,0.04,383,0.04,330,0.03,97,0.02,64,0.02,315,0.02,321,0.02,2108,0.07,17835,0.05,31310,0.05,33450,0.15,3709,0.09,113371,0.17,129118,0.15,94987,0.16,6522,0.12,323114,0.17,38595,0.12
GFragment:Bacteria,Actinobacteria,249,47,0.01,90,0.02,55,0.01,126,0.01,173,0.02,36,0.01,50,0.01,163,0.01,97,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Cyanobacteria,16,15,0,4,0,7,0,32,0,14,0,5,0,3,0,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,Proteobacteria,43,27,0.01,15,0,27,0.01,90,0.01,62,0.01,11,0,6,0,48,0,87,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFragment:Bacteria,unclassified,13,14,0,12,0,5,0,31,0,15,0,14,0,7,0,29,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
